"ITTER107","Territorio","TIPO_DATO_OCC","Tipo aggregato","BRANCA_ATTIVITAREV2","Branca di attività (NACE Rev2)","POSIZPROF","Posizione nella professione","CORREZ","Correzione","T_BIS","Edizione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","RUEP","tasso di irregolarità degli occupati (per 100 occupati)","C26","fabbricazione di computer e prodotti di elettronica e ottica","9","totale","N","dati grezzi","2021M9","Set-2021","2019","2019",4.803,,
"IT","Italia","RUEP","tasso di irregolarità degli occupati (per 100 occupati)","D_E","fornitura di energia elettrica, gas, vapore e aria condizionata, fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento","9","totale","N","dati grezzi","2021M9","Set-2021","2019","2019",3.909,,
"IT","Italia","RUFTE","tasso di irregolarità delle unità di lavoro (per 100 unità di lavoro)","OTQ","amministrazione pubblica e difesa, assicurazione sociale obbligatoria, istruzione, sanità e assistenza sociale","2","indipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",17.867,,
"IT","Italia","RUFTE","tasso di irregolarità delle unità di lavoro (per 100 unità di lavoro)","J","servizi di informazione e comunicazione","9","totale","N","dati grezzi","2021M9","Set-2021","2019","2019",8.336,,
"IT","Italia","RUFTE","tasso di irregolarità delle unità di lavoro (per 100 unità di lavoro)","H","trasporti e magazzinaggio","2","indipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",43.586,,
"IT","Italia","RUFTE","tasso di irregolarità delle unità di lavoro (per 100 unità di lavoro)","R_S","attività artistiche, di intrattenimento e divertimento, altre attività di servizi","9","totale","N","dati grezzi","2021M9","Set-2021","2019","2019",26.049,,
"IT","Italia","RUFTE","tasso di irregolarità delle unità di lavoro (per 100 unità di lavoro)","Q","sanità e assistenza sociale","1","dipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",8.033,,
"IT","Italia","RUJ","tasso di irregolarità delle posizioni lavorative (per 100 posizioni lavorative)","H","trasporti e magazzinaggio","1","dipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",13.162,,
"IT","Italia","RUEP","tasso di irregolarità degli occupati (per 100 occupati)","R_S","attività artistiche, di intrattenimento e divertimento, altre attività di servizi","1","dipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",19.724,,
"IT","Italia","RUJ","tasso di irregolarità delle posizioni lavorative (per 100 posizioni lavorative)","I","servizi di alloggio e di ristorazione","2","indipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",20.83,,
"IT","Italia","RUJ","tasso di irregolarità delle posizioni lavorative (per 100 posizioni lavorative)","A","agricoltura, silvicoltura e pesca","2","indipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",7.649,,
"IT","Italia","RUEP","tasso di irregolarità degli occupati (per 100 occupati)","C20","fabbricazione di prodotti chimici","9","totale","N","dati grezzi","2021M9","Set-2021","2019","2019",4.502,,
"IT","Italia","RUJ","tasso di irregolarità delle posizioni lavorative (per 100 posizioni lavorative)","C31T33","fabbricazione di mobili, altre industrie manifatturiere, riparazione e installazione di macchine e apparecchiature","1","dipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",6.281,,
"IT","Italia","RUFTE","tasso di irregolarità delle unità di lavoro (per 100 unità di lavoro)","BTF","attività estrattiva, attività manifatturiere, fornitura di energia elettrica, gas, vapore e aria condizionata, fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento, costruzioni","1","dipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",9.24,,
"IT","Italia","RUJ","tasso di irregolarità delle posizioni lavorative (per 100 posizioni lavorative)","C16T18","industria del legno, della carta, editoria","9","totale","N","dati grezzi","2021M9","Set-2021","2019","2019",8.267,,
"IT","Italia","RUFTE","tasso di irregolarità delle unità di lavoro (per 100 unità di lavoro)","RTU","attività artistiche, di intrattenimento e divertimento, riparazione di beni per la casa e altri servizi","9","totale","N","dati grezzi","2021M9","Set-2021","2019","2019",46.38,,
"IT","Italia","RUJ","tasso di irregolarità delle posizioni lavorative (per 100 posizioni lavorative)","F","costruzioni","9","totale","N","dati grezzi","2021M9","Set-2021","2019","2019",15.498,,
"IT","Italia","RUJ","tasso di irregolarità delle posizioni lavorative (per 100 posizioni lavorative)","C26","fabbricazione di computer e prodotti di elettronica e ottica","2","indipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",5.357,,
"IT","Italia","RUEP","tasso di irregolarità degli occupati (per 100 occupati)","R_S","attività artistiche, di intrattenimento e divertimento, altre attività di servizi","2","indipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",28.358,,
"IT","Italia","RUJ","tasso di irregolarità delle posizioni lavorative (per 100 posizioni lavorative)","J","servizi di informazione e comunicazione","1","dipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",4.614,,
"IT","Italia","RUEP","tasso di irregolarità degli occupati (per 100 occupati)","BTE","attività estrattiva, attività manifatturiere, fornitura di energia elettrica, gas, vapore e aria condizionata, fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento","1","dipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",5.665,,
"IT","Italia","RUFTE","tasso di irregolarità delle unità di lavoro (per 100 unità di lavoro)","OTQ","amministrazione pubblica e difesa, assicurazione sociale obbligatoria, istruzione, sanità e assistenza sociale","9","totale","N","dati grezzi","2021M9","Set-2021","2019","2019",6.337,,
"IT","Italia","RUFTE","tasso di irregolarità delle unità di lavoro (per 100 unità di lavoro)","GTI","commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli, trasporto e magazzinaggio, servizi di alloggio e di ristorazione","9","totale","N","dati grezzi","2021M9","Set-2021","2019","2019",15.267,,
"IT","Italia","RUJ","tasso di irregolarità delle posizioni lavorative (per 100 posizioni lavorative)","P","istruzione","1","dipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",6.478,,
"IT","Italia","RUJ","tasso di irregolarità delle posizioni lavorative (per 100 posizioni lavorative)","O","amministrazione pubblica e difesa, assicurazione sociale obbligatoria","2","indipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",0,,
"IT","Italia","RUFTE","tasso di irregolarità delle unità di lavoro (per 100 unità di lavoro)","I","servizi di alloggio e di ristorazione","9","totale","N","dati grezzi","2021M9","Set-2021","2019","2019",23.905,,
"IT","Italia","RUEP","tasso di irregolarità degli occupati (per 100 occupati)","OTQ","amministrazione pubblica e difesa, assicurazione sociale obbligatoria, istruzione, sanità e assistenza sociale","1","dipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",4.36,,
"IT","Italia","RUFTE","tasso di irregolarità delle unità di lavoro (per 100 unità di lavoro)","J","servizi di informazione e comunicazione","2","indipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",20.216,,
"IT","Italia","RUJ","tasso di irregolarità delle posizioni lavorative (per 100 posizioni lavorative)","O","amministrazione pubblica e difesa, assicurazione sociale obbligatoria","9","totale","N","dati grezzi","2021M9","Set-2021","2019","2019",0,,
"IT","Italia","RUFTE","tasso di irregolarità delle unità di lavoro (per 100 unità di lavoro)","H","trasporti e magazzinaggio","9","totale","N","dati grezzi","2021M9","Set-2021","2019","2019",16.43,,
"IT","Italia","RUFTE","tasso di irregolarità delle unità di lavoro (per 100 unità di lavoro)","GTI","commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli, trasporto e magazzinaggio, servizi di alloggio e di ristorazione","2","indipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",17.777,,
"IT","Italia","RUFTE","tasso di irregolarità delle unità di lavoro (per 100 unità di lavoro)","BTF","attività estrattiva, attività manifatturiere, fornitura di energia elettrica, gas, vapore e aria condizionata, fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento, costruzioni","9","totale","N","dati grezzi","2021M9","Set-2021","2019","2019",9.738,,
"IT","Italia","RUEP","tasso di irregolarità degli occupati (per 100 occupati)","C19","fabbricazione di coke e prodotti derivanti dalla raffinazione del petrolio","1","dipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",2.667,,
"IT","Italia","RUEP","tasso di irregolarità degli occupati (per 100 occupati)","C26","fabbricazione di computer e prodotti di elettronica e ottica","1","dipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",4.728,,
"IT","Italia","RUFTE","tasso di irregolarità delle unità di lavoro (per 100 unità di lavoro)","A","agricoltura, silvicoltura e pesca","1","dipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",37.742,,
"IT","Italia","RUJ","tasso di irregolarità delle posizioni lavorative (per 100 posizioni lavorative)","T","attività di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze","9","totale","N","dati grezzi","2021M9","Set-2021","2019","2019",58.708,,
"IT","Italia","RUFTE","tasso di irregolarità delle unità di lavoro (per 100 unità di lavoro)","_T","totale attività economiche","1","dipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",15.054,,
"IT","Italia","RUEP","tasso di irregolarità degli occupati (per 100 occupati)","D","fornitura di energia elettrica, gas, vapore e aria condizionata","2","indipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",0,,
"IT","Italia","RUJ","tasso di irregolarità delle posizioni lavorative (per 100 posizioni lavorative)","C13T15","industrie tessili, confezione di articoli di abbigliamento e di articoli in pelle e simili","1","dipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",7.244,,
"IT","Italia","RUJ","tasso di irregolarità delle posizioni lavorative (per 100 posizioni lavorative)","GTU","servizi","9","totale","N","dati grezzi","2021M9","Set-2021","2019","2019",16.247,,
"IT","Italia","RUEP","tasso di irregolarità degli occupati (per 100 occupati)","P","istruzione","2","indipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",39.594,,
"IT","Italia","RUEP","tasso di irregolarità degli occupati (per 100 occupati)","_T","totale attività economiche","9","totale","N","dati grezzi","2021M9","Set-2021","2019","2019",12.56,,
"IT","Italia","RUFTE","tasso di irregolarità delle unità di lavoro (per 100 unità di lavoro)","C13T15","industrie tessili, confezione di articoli di abbigliamento e di articoli in pelle e simili","9","totale","N","dati grezzi","2021M9","Set-2021","2019","2019",9.199,,
"IT","Italia","RUJ","tasso di irregolarità delle posizioni lavorative (per 100 posizioni lavorative)","B","industria estrattiva","1","dipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",8.824,,
"IT","Italia","RUJ","tasso di irregolarità delle posizioni lavorative (per 100 posizioni lavorative)","C28","fabbricazione di macchinari e apparecchiature n.c.a.","1","dipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",2.368,,
"IT","Italia","RUFTE","tasso di irregolarità delle unità di lavoro (per 100 unità di lavoro)","BTE","attività estrattiva, attività manifatturiere, fornitura di energia elettrica, gas, vapore e aria condizionata, fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento","9","totale","N","dati grezzi","2021M9","Set-2021","2019","2019",7.127,,
"IT","Italia","RUEP","tasso di irregolarità degli occupati (per 100 occupati)","C","industria manifatturiera","2","indipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",10.29,,
"IT","Italia","RUJ","tasso di irregolarità delle posizioni lavorative (per 100 posizioni lavorative)","GTI","commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli, trasporto e magazzinaggio, servizi di alloggio e di ristorazione","1","dipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",14.38,,
"IT","Italia","RUEP","tasso di irregolarità degli occupati (per 100 occupati)","GTU","servizi","2","indipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",15.04,,
"IT","Italia","RUFTE","tasso di irregolarità delle unità di lavoro (per 100 unità di lavoro)","G","commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli","1","dipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",8.279,,
"IT","Italia","RUEP","tasso di irregolarità degli occupati (per 100 occupati)","F","costruzioni","2","indipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",12.97,,
"IT","Italia","RUEP","tasso di irregolarità degli occupati (per 100 occupati)","D","fornitura di energia elettrica, gas, vapore e aria condizionata","1","dipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",0,,
"IT","Italia","RUFTE","tasso di irregolarità delle unità di lavoro (per 100 unità di lavoro)","G","commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli","2","indipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",14.3,,
