Anno,Regione,Sesso,Occupati,Area Geografica,Count,Percentage,PercentageOccupati
2021,Veneto,F,899756,NordEst,23804,2.1524044104216737,2.6456061421096386
2021,Veneto,M,1180769,NordEst,46731,4.225508759175569,3.957675040587956
2022,Abruzzo,F,195905,Sud,7105,0.5154571862204256,3.626757867333657
2022,Abruzzo,M,286944,Sud,8709,0.6318250013784218,3.0350869856139178
2022,Basilicata,F,69983,Sud,1651,0.11977759527796238,2.3591443636311675
2022,Basilicata,M,118778,Sud,2631,0.19087513820491764,2.2150566603243025
2022,Calabria,F,192999,Sud,3901,0.28301174995719636,2.0212539961346954
2022,Calabria,M,335975,Sud,6375,0.46249677159116304,1.8974626088250612
2022,Campania,F,579919,Sud,13730,0.9960910861092813,2.3675720229894175
2022,Campania,M,1061381,Sud,19693,1.4286978702658468,1.8554129007396967
2022,Emilia Romagna,F,898132,NordEst,30083,2.182476922317954,3.349507644756005
2022,Emilia Romagna,M,1103140,NordEst,51838,3.7607698267831697,4.6991315698823355
2022,Friuli Venezia Giulia,F,,NordEst,6858,0.49753770346230525,0.0
2022,Friuli Venezia Giulia,M,,NordEst,10029,0.7275890387902391,0.0
2022,Friuli-Venezia Giulia,F,230742,,0,0.0,0.0
2022,Friuli-Venezia Giulia,M,289775,,0,0.0,0.0
2022,Lazio,F,1020342,Centro,24936,1.8090697249250574,2.44388646159817
2022,Lazio,M,1300541,Centro,29475,2.1383674262979655,2.2663645359892537
2022,Liguria,F,266341,NordOvest,14115,1.024022263687728,5.299597132998675
2022,Liguria,M,349775,NordOvest,14209,1.0308418239276604,4.0623257808591235
2022,Lombardia,F,1927460,NordOvest,55907,4.055969726956416,2.9005530594668634
2022,Lombardia,M,2496936,NordOvest,76583,5.55598278568879,3.0670790120371527
2022,Marche,F,282538,Centro,7416,0.5380197738227552,2.6247796756542483
2022,Marche,M,356723,Centro,11482,0.8330020284564288,3.2187439553939616
2022,Molise,F,40793,Sud,998,0.07240341616438913,2.446498173706273
2022,Molise,M,62300,Sud,1432,0.1038894708891836,2.2985553772070624
2022,Piemonte,F,797062,NordOvest,25407,1.8432400746379103,3.18758139266456
2022,Piemonte,M,988256,NordOvest,29032,2.106228434954454,2.9377003529449857
2022,Puglia,F,453082,Sud,10726,0.7781553524842062,2.3673418939617994
2022,Puglia,M,813545,Sud,18874,1.3692806379626057,2.319970007805346
2022,Sardegna,F,238337,,0,0.0,0.0
2022,Sardegna,M,327814,,0,0.0,0.0
2022,Sicilia,F,482748,Sud,12604,0.9144014602564735,2.6108860109208116
2022,Sicilia,M,854269,Sud,20133,1.460619216069786,2.356751795979955
2022,Toscana,F,730298,Centro,22012,1.5969378723552439,3.0141120474107828
2022,Toscana,M,887415,Centro,31128,2.2582901186023094,3.5077162319771467
2022,Total,F,,Total,282783,20.515486205625702,0.0
2022,Total,M,,Total,406411,29.484513794374298,0.0
2022,Trentino Alto Adige,F,230103,NordEst,7088,0.5142238614961825,3.080359665019578
2022,Trentino Alto Adige,M,276217,NordEst,16046,1.1641134426591062,5.8092007371016265
2022,Umbria,F,157830,Centro,4198,0.30455865837485524,2.659823861116391
