Anno,Regione,Occupati,Area Geografica,DescrAtecoLiv1,Settore,Numero Incidenti,Percentage,PercentageOccupati
2018,Lazio,2324973,Centro,Altre attivita' di servizi,Terziario,547.0,0.04329573121503494,0.023527154939003595
2018,Lazio,2324973,Centro,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",Terziario,1322.0,0.10463794637344823,0.056860875373606484
2018,Lazio,2324973,Centro,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Terziario,444.0,0.035143152942368396,0.019096995965114435
2018,Lazio,2324973,Centro,Attivita' dei servizi di alloggio e di ristorazione,Terziario,3263.0,0.2582705136282614,0.1403457158427216
2018,Lazio,2324973,Centro,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Terziario,6.0,0.00047490747219416755,0.00025806751304208696
2018,Lazio,2324973,Centro,Attivita' finanziarie e assicurative,Terziario,694.0,0.05493096428379204,0.029849809008534723
2018,Lazio,2324973,Centro,Attivita' immobiliari,Terziario,205.0,0.01622600529996739,0.008817306695604637
2018,Lazio,2324973,Centro,Attivita' manifatturiere,Secondario,2216.0,0.1753991597303792,0.09531293481687744
2018,Lazio,2324973,Centro,"Attivita' professionali, scientifiche e tecniche",Terziario,845.0,0.06688280233401192,0.03634450808676058
2018,Lazio,2324973,Centro,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Terziario,3825.0,0.30275351352378177,0.16451803956433045
2018,Lazio,2324973,Centro,Costruzioni,Secondario,2260.0,0.17888181452646976,0.0972054299125194
2018,Lazio,2324973,Centro,Estrazione di minerali da cave e miniere,Primario,61.0,0.00482822596730737,0.0026236863825945503
2018,Lazio,2324973,Centro,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Secondario,1644.0,0.13012464738120189,0.07071049857353182
2018,Lazio,2324973,Centro,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Secondario,129.0,0.010210510652174602,0.00554845153040487
2018,Lazio,2324973,Centro,Istruzione,Terziario,430.0,0.03403503550724867,0.0184948384346829
2018,Lazio,2324973,Centro,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Terziario,3868.0,0.30615701707450665,0.1663675234077987
2018,Lazio,2324973,Centro,Non determinato,Terziario,12665.0,1.002450522556522,0.5447375087796719
2018,Lazio,2324973,Centro,Organizzazioni ed organismi extraterritoriali,Terziario,32.0,0.002532839851702227,0.001376360069557797
2018,Lazio,2324973,Centro,Sanita' e assistenza sociale,Terziario,4233.0,0.33504722163298517,0.18206663045119234
2018,Lazio,2324973,Centro,Servizi di informazione e comunicazione,Terziario,1208.0,0.09561470440175905,0.05195759262580684
2018,Lazio,2324973,Centro,Trasporto e magazzinaggio,Terziario,5082.0,0.40224662894845986,0.21858318354664763
2018,Liguria,601566,NordOvest,"Agricoltura, silvicoltura e pesca",Primario,14.0,0.0011081174351197241,0.00232725918685564
2018,Liguria,601566,NordOvest,Altre attivita' di servizi,Terziario,260.0,0.02057932379508059,0.043220527755890456
2018,Liguria,601566,NordOvest,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",Terziario,544.0,0.043058277478937854,0.09043064268924773
2018,Liguria,601566,NordOvest,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Terziario,225.0,0.01780903020728128,0.037402379788751355
2018,Liguria,601566,NordOvest,Attivita' dei servizi di alloggio e di ristorazione,Terziario,1178.0,0.09324016704078822,0.195822237293996
2018,Liguria,601566,NordOvest,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Terziario,1.0,7.915124536569459e-05,0.00016623279906111715
2018,Liguria,601566,NordOvest,Attivita' finanziarie e assicurative,Terziario,189.0,0.014959585374116275,0.031417999022551144
2018,Liguria,601566,NordOvest,Attivita' immobiliari,Terziario,47.0,0.0037201085321876453,0.007812941555872506
2018,Liguria,601566,NordOvest,Attivita' manifatturiere,Secondario,1971.0,0.15600710461578401,0.3276448469494619
