Anno,DescrAtecoLiv1,Area Geografica,Occupati,Numero morti,Percentage,PercentageOccupati
2019,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Centro,2333459,1,0.041118421052631575,0.29391606619583743
2019,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",Total,23109405,1,0.041118421052631575,2.9107969798168365
2019,Attivita' finanziarie e assicurative,Centro,3917589,3,0.12335526315789473,0.49344871619860664
2019,Attivita' finanziarie e assicurative,NordOvest,6263555,6,0.24671052631578946,0.7889401296535608
2019,Attivita' finanziarie e assicurative,Sud,2967114,3,0.12335526315789473,0.3737295040686791
2019,Attivita' finanziarie e assicurative,Total,23109405,12,0.4934210526315789,2.9107969798168365
2019,Attivita' immobiliari,Centro,2333459,4,0.1644736842105263,0.29391606619583743
2019,Attivita' immobiliari,NordEst,4179669,3,0.12335526315789473,0.5264595908823294
2019,Attivita' immobiliari,Total,23109405,7,0.287828947368421,2.9107969798168365
2019,Attivita' manifatturiere,Centro,4908361,35,1.4391447368421053,0.6182436274170948
2019,Attivita' manifatturiere,NordEst,5188001,67,2.7549342105263155,0.6534663113172636
2019,Attivita' manifatturiere,NordOvest,6865303,85,3.4950657894736845,0.8647346497206425
2019,Attivita' manifatturiere,Sud,5510508,50,2.055921052631579,0.6940884044248009
2019,Attivita' manifatturiere,Total,23109405,237,9.745065789473683,2.9107969798168365
2019,"Attivita' professionali, scientifiche e tecniche",Centro,2333459,1,0.041118421052631575,0.29391606619583743
2019,"Attivita' professionali, scientifiche e tecniche",NordEst,2653823,2,0.08223684210526315,0.3342682329280419
2019,"Attivita' professionali, scientifiche e tecniche",Sud,2118196,4,0.1644736842105263,0.2668021318359388
2019,"Attivita' professionali, scientifiche e tecniche",Total,23109405,7,0.287828947368421,2.9107969798168365
2019,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Centro,4908361,22,0.9046052631578948,0.6182436274170948
2019,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",NordEst,5188001,15,0.6167763157894737,0.6534663113172636
2019,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",NordOvest,6865303,23,0.9457236842105263,0.8647346497206425
2019,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Sud,5402013,26,1.069078947368421,0.680422673164077
2019,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Total,23109405,86,3.5361842105263155,2.9107969798168365
2019,Costruzioni,Centro,4908361,35,1.4391447368421053,0.6182436274170948
2019,Costruzioni,NordEst,5188001,39,1.6036184210526316,0.6534663113172636
2019,Costruzioni,NordOvest,6865303,65,2.6726973684210527,0.8647346497206425
2019,Costruzioni,Sud,5510508,58,2.384868421052632,0.6940884044248009
2019,Costruzioni,Total,23109405,197,8.100328947368421,2.9107969798168365
2019,Estrazione di minerali da cave e miniere,Centro,2965952,3,0.12335526315789473,0.37358314175036983
2019,Estrazione di minerali da cave e miniere,Sud,3459729,3,0.12335526315789473,0.4357779321529362
2019,Estrazione di minerali da cave e miniere,Total,23109405,6,0.24671052631578946,2.9107969798168365
2019,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Centro,4275868,6,0.24671052631578946,0.5385765518625624
2019,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",NordEst,5188001,6,0.24671052631578946,0.6534663113172636
2019,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",NordOvest,6865303,6,0.24671052631578946,0.8647346497206425
2019,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Sud,4675792,15,0.6167763157894737,0.588949876980897
2019,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Total,23109405,33,1.3569078947368423,2.9107969798168365
2019,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Centro,2333459,1,0.041118421052631575,0.29391606619583743
2019,"Fornitura di energia elettrica, gas, vapore e aria condizionata",NordEst,508166,1,0.041118421052631575,0.06400718919615639
2019,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Total,23109405,2,0.08223684210526315,2.9107969798168365
2019,Istruzione,Centro,2333459,2,0.08223684210526315,0.29391606619583743
2019,Istruzione,NordEst,500166,1,0.041118421052631575,0.0629995312387778
2019,Istruzione,NordOvest,4451020,1,0.041118421052631575,0.5606382151814092
2019,Istruzione,Total,23109405,4,0.1644736842105263,2.9107969798168365
2019,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Centro,4550082,15,0.6167763157894737,0.5731157917531391
2019,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",NordEst,5188001,14,0.575657894736842,0.6534663113172636
2019,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",NordOvest,6865303,17,0.6990131578947368,0.8647346497206425
2019,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Sud,4784287,14,0.575657894736842,0.6026156082416207
2019,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Total,23109405,60,2.4671052631578947,2.9107969798168365
2019,Non determinato,Centro,4908361,57,2.34375,0.6182436274170948
2019,Non determinato,NordEst,5188001,57,2.34375,0.6534663113172636
2019,Non determinato,NordOvest,6920502,47,1.9325657894736843,0.8716873636693103
2019,Non determinato,Sud,5510508,119,4.893092105263158,0.6940884044248009
2019,Non determinato,Total,23109405,280,11.513157894736842,2.9107969798168365
2019,Sanita' e assistenza sociale,Centro,3324231,7,0.287828947368421,0.4187109774143256
2019,Sanita' e assistenza sociale,NordEst,4679835,5,0.20559210526315788,0.5894591221211072
2019,Sanita' e assistenza sociale,NordOvest,6865303,11,0.4523026315789474,0.8647346497206425
2019,Sanita' e assistenza sociale,Sud,3998369,9,0.3700657894736842,0.5036235424232369
2019,Sanita' e assistenza sociale,Total,23109405,32,1.3157894736842104,2.9107969798168365
2019,Servizi di informazione e comunicazione,Centro,4275868,6,0.24671052631578946,0.5385765518625624
2019,Servizi di informazione e comunicazione,NordEst,4679835,3,0.12335526315789473,0.5894591221211072
2019,Servizi di informazione e comunicazione,NordOvest,6263555,4,0.1644736842105263,0.7889401296535608
2019,Servizi di informazione e comunicazione,Sud,1625581,2,0.08223684210526315,0.20475370375168175
2019,Servizi di informazione e comunicazione,Total,23109405,15,0.6167763157894737,2.9107969798168365
2019,Trasporto e magazzinaggio,Centro,4550082,25,1.0279605263157896,0.5731157917531391
