Anno,Regione,Occupati,Area Geografica,Settore,Count,Percentage,PercentageOccupati
2021,Puglia,1206761,Sud,Terziario,78,75.72815533980582,0.006463583095575678
2021,Sardegna,563197,,,0,0.0,0.0
2021,Sicilia,1310864,Sud,Primario,1,1.2048192771084338,7.628556433009069e-05
2021,Sicilia,1310864,Sud,Secondario,29,34.93975903614458,0.00221228136557263
2021,Sicilia,1310864,Sud,Terziario,53,63.85542168674698,0.004043134909494806
2021,Toscana,1546282,Centro,Secondario,23,30.263157894736842,0.001487438901830326
2021,Toscana,1546282,Centro,Terziario,53,69.73684210526315,0.0034275765998698815
2021,Total,0,Total,Primario,20,0.7132667617689016,inf
2021,Total,0,Total,Secondario,954,34.0228245363766,inf
2021,Total,0,Total,Terziario,1830,65.26390870185449,inf
2021,Trentino Alto Adige,487081,NordEst,Primario,2,6.666666666666667,0.0004106093237059134
2021,Trentino Alto Adige,487081,NordEst,Secondario,6,20.0,0.0012318279711177403
2021,Trentino Alto Adige,487081,NordEst,Terziario,22,73.33333333333333,0.004516702560765047
2021,Umbria,354249,Centro,Secondario,13,46.42857142857143,0.003669735129809823
2021,Umbria,354249,Centro,Terziario,15,53.57142857142857,0.004234309765165181
2021,Valle D'Aosta,52741,NordOvest,Secondario,3,60.0,0.005688174285660113
2021,Valle D'Aosta,52741,NordOvest,Terziario,2,40.0,0.003792116190440075
2021,Veneto,2080525,NordEst,Primario,1,0.8403361344537815,4.80647913387246e-05
2021,Veneto,2080525,NordEst,Secondario,47,39.49579831932773,0.002259045192920056
2021,Veneto,2080525,NordEst,Terziario,71,59.66386554621849,0.0034126001850494467
2022,Abruzzo,482849,Sud,Secondario,8,32.0,0.0016568326743971718
2022,Abruzzo,482849,Sud,Terziario,17,68.0,0.0035207694330939903
2022,Basilicata,188761,Sud,Secondario,2,15.384615384615385,0.0010595409009276282
2022,Basilicata,188761,Sud,Terziario,11,84.61538461538461,0.005827474955101954
2022,Calabria,528974,Sud,Primario,1,2.941176470588235,0.00018904520827110594
2022,Calabria,528974,Sud,Secondario,7,20.588235294117645,0.0013233164578977416
2022,Calabria,528974,Sud,Terziario,26,76.47058823529412,0.004915175415048755
2022,Campania,1641300,Sud,Secondario,25,23.14814814814815,0.0015231828428684578
2022,Campania,1641300,Sud,Terziario,83,76.85185185185185,0.00505696703832328
2022,Emilia Romagna,2001272,NordEst,Secondario,27,26.21359223300971,0.0013491419457225206
2022,Emilia Romagna,2001272,NordEst,Terziario,76,73.7864077669903,0.0037975847361078354
2022,Friuli Venezia Giulia,0,NordEst,Secondario,7,53.84615384615385,inf
2022,Friuli Venezia Giulia,0,NordEst,Terziario,6,46.15384615384615,inf
2022,Friuli-Venezia Giulia,520517,,,0,0.0,0.0
2022,Lazio,2320883,Centro,Secondario,37,31.896551724137932,0.0015942208202653903
2022,Lazio,2320883,Centro,Terziario,79,68.10344827586206,0.0034038768865125905
2022,Liguria,616116,NordOvest,Primario,1,3.571428571428571,0.00016230709801401034
2022,Liguria,616116,NordOvest,Secondario,13,46.42857142857143,0.0021099922741821347
2022,Liguria,616116,NordOvest,Terziario,14,50.0,0.0022722993721961448
2022,Lombardia,4424396,NordOvest,Primario,2,1.0050251256281406,4.520391031905824e-05
2022,Lombardia,4424396,NordOvest,Secondario,82,41.20603015075377,0.001853360323081388
2022,Lombardia,4424396,NordOvest,Terziario,115,57.78894472361809,0.0025992248433458487
2022,Marche,639261,Centro,Secondario,11,28.947368421052634,0.0017207369134046972
2022,Marche,639261,Centro,Terziario,27,71.05263157894737,0.004223626969266074
2022,Molise,103093,Sud,Secondario,2,28.57142857142857,0.0019399959260085553
2022,Molise,103093,Sud,Terziario,5,71.42857142857143,0.004849989815021389
2022,Piemonte,1785318,NordOvest,Primario,1,1.0101010101010102,5.6012430278527406e-05
2022,Piemonte,1785318,NordOvest,Secondario,47,47.474747474747474,0.0026325842230907883
2022,Piemonte,1785318,NordOvest,Terziario,51,51.515151515151516,0.0028566339442048978
2022,Puglia,1266627,Sud,Primario,1,1.282051282051282,7.894984079764603e-05
2022,Puglia,1266627,Sud,Secondario,20,25.64102564102564,0.0015789968159529205
2022,Puglia,1266627,Sud,Terziario,57,73.07692307692307,0.0045001409254658235
2022,Sardegna,566151,,,0,0.0,0.0
2022,Sicilia,1337017,Sud,Primario,1,1.3888888888888888,7.479336463186332e-05
2022,Sicilia,1337017,Sud,Secondario,20,27.77777777777778,0.0014958672926372665
2022,Sicilia,1337017,Sud,Terziario,51,70.83333333333334,0.0038144615962250293
2022,Toscana,1617713,Centro,Primario,1,1.1627906976744187,6.1815661987015e-05
2022,Toscana,1617713,Centro,Secondario,18,20.930232558139537,0.00111268191576627
2022,Toscana,1617713,Centro,Terziario,67,77.90697674418605,0.004141649353130005
2022,Total,0,Total,Primario,26,1.069078947368421,inf
2022,Total,0,Total,Secondario,816,33.55263157894737,inf
2022,Total,0,Total,Terziario,1590,65.37828947368422,inf
2022,Trentino Alto Adige,506320,NordEst,Primario,2,5.263157894736842,0.0003950071101279823
2022,Trentino Alto Adige,506320,NordEst,Secondario,9,23.684210526315788,0.0017775319955759205
2022,Trentino Alto Adige,506320,NordEst,Terziario,27,71.05263157894737,0.005332595986727761
2022,Umbria,352298,Centro,Secondario,11,47.82608695652174,0.003122356641252576
2022,Umbria,352298,Centro,Terziario,12,52.17391304347826,0.00340620724500281
2022,Valle D'Aosta,55164,NordOvest,Secondario,5,71.42857142857143,0.009063882242041911
2022,Valle D'Aosta,55164,NordOvest,Terziario,2,28.57142857142857,0.0036255528968167647
2022,Veneto,2145361,NordEst,Primario,3,2.3255813953488373,0.0001398366055875911
2022,Veneto,2145361,NordEst,Secondario,57,44.18604651162791,0.0026568955061642306
2022,Veneto,2145361,NordEst,Terziario,69,53.48837209302325,0.003216241928514595
2023,Abruzzo,502116,Sud,Secondario,2,18.181818181818183,0.00039831433373961394
2023,Abruzzo,502116,Sud,Terziario,9,81.81818181818183,0.0017924145018282627
2023,Basilicata,194175,Sud,Terziario,1,100.0,0.0005149993562508047
2023,Calabria,539183,Sud,Secondario,1,25.0,0.00018546578805340674
2023,Calabria,539183,Sud,Terziario,3,75.0,0.0005563973641602201
2023,Campania,1683953,Sud,Primario,1,3.4482758620689653,5.9384080197012625e-05
2023,Campania,1683953,Sud,Secondario,4,13.793103448275861,0.0002375363207880505
