Anno,Regione,Occupati,Area Geografica,DescrAtecoLiv1,Settore,Count,Percentage,PercentageOccupati
2018,Umbria,349450,Centro,Attivita' manifatturiere,Secondario,5,0.1966955153422502,0.0014308198597796538
2018,Umbria,349450,Centro,"Attivita' professionali, scientifiche e tecniche",Terziario,1,0.03933910306845004,0.00028616397195593076
2018,Umbria,349450,Centro,Costruzioni,Secondario,7,0.2753737214791503,0.002003147803691515
2018,Umbria,349450,Centro,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Terziario,1,0.03933910306845004,0.00028616397195593076
2018,Umbria,349450,Centro,Non determinato,Terziario,1,0.03933910306845004,0.00028616397195593076
2018,Umbria,349450,Centro,Sanita' e assistenza sociale,Terziario,1,0.03933910306845004,0.00028616397195593076
2018,Umbria,349450,Centro,Trasporto e magazzinaggio,Terziario,2,0.07867820613690008,0.0005723279439118615
2018,Valle D'Aosta,54777,NordOvest,Trasporto e magazzinaggio,Terziario,1,0.03933910306845004,0.0018255837303977945
2018,Veneto,2123868,NordEst,Altre attivita' di servizi,Terziario,2,0.07867820613690008,9.416781080556796e-05
2018,Veneto,2123868,NordEst,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Terziario,1,0.03933910306845004,4.708390540278398e-05
2018,Veneto,2123868,NordEst,Attivita' dei servizi di alloggio e di ristorazione,Terziario,10,0.3933910306845004,0.00047083905402783973
2018,Veneto,2123868,NordEst,Attivita' finanziarie e assicurative,Terziario,1,0.03933910306845004,4.708390540278398e-05
2018,Veneto,2123868,NordEst,Attivita' immobiliari,Terziario,1,0.03933910306845004,4.708390540278398e-05
2018,Veneto,2123868,NordEst,Attivita' manifatturiere,Secondario,29,1.1408339889850512,0.0013654332566807354
2018,Veneto,2123868,NordEst,"Attivita' professionali, scientifiche e tecniche",Terziario,3,0.11801730920535011,0.00014125171620835194
2018,Veneto,2123868,NordEst,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Terziario,13,0.5114083398898506,0.0006120907702361917
2018,Veneto,2123868,NordEst,Costruzioni,Secondario,20,0.7867820613690008,0.0009416781080556795
2018,Veneto,2123868,NordEst,Estrazione di minerali da cave e miniere,Primario,1,0.03933910306845004,4.708390540278398e-05
2018,Veneto,2123868,NordEst,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Secondario,3,0.11801730920535011,0.00014125171620835194
2018,Veneto,2123868,NordEst,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Secondario,1,0.03933910306845004,4.708390540278398e-05
2018,Veneto,2123868,NordEst,Istruzione,Terziario,1,0.03933910306845004,4.708390540278398e-05
2018,Veneto,2123868,NordEst,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Terziario,5,0.1966955153422502,0.00023541952701391987
2018,Veneto,2123868,NordEst,Non determinato,Terziario,19,0.7474429583005507,0.0008945942026528955
2018,Veneto,2123868,NordEst,Sanita' e assistenza sociale,Terziario,5,0.1966955153422502,0.00023541952701391987
2018,Veneto,2123868,NordEst,Servizi di informazione e comunicazione,Terziario,1,0.03933910306845004,4.708390540278398e-05
2018,Veneto,2123868,NordEst,Trasporto e magazzinaggio,Terziario,9,0.35405192761605037,0.0004237551486250558
2019,Abruzzo,492615,Sud,Attivita' dei servizi di alloggio e di ristorazione,Terziario,2,0.08223684210526315,0.0004059965693289892
2019,Abruzzo,492615,Sud,Attivita' manifatturiere,Secondario,9,0.3700657894736842,0.0018269845619804514
2019,Abruzzo,492615,Sud,"Attivita' professionali, scientifiche e tecniche",Terziario,1,0.041118421052631575,0.0002029982846644946
2019,Abruzzo,492615,Sud,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Terziario,2,0.08223684210526315,0.0004059965693289892
2019,Abruzzo,492615,Sud,Costruzioni,Secondario,3,0.12335526315789473,0.0006089948539934837
2019,Abruzzo,492615,Sud,Estrazione di minerali da cave e miniere,Primario,1,0.041118421052631575,0.0002029982846644946
2019,Abruzzo,492615,Sud,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Secondario,1,0.041118421052631575,0.0002029982846644946
2019,Abruzzo,492615,Sud,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Terziario,3,0.12335526315789473,0.0006089948539934837
2019,Abruzzo,492615,Sud,Non determinato,Terziario,8,0.3289473684210526,0.0016239862773159569
2019,Abruzzo,492615,Sud,Sanita' e assistenza sociale,Terziario,2,0.08223684210526315,0.0004059965693289892
2019,Abruzzo,492615,Sud,Trasporto e magazzinaggio,Terziario,3,0.12335526315789473,0.0006089948539934837
