Year,DescrRegione,Occupati,MacroRegione,Settore,Percentage,PercentageOccupati,SummarisedCount
2021,Campania,1592095,Sud,Secondario,0.19253834054266608,0.002460280322468194,Low (1001-10000)
2021,Campania,1592095,Sud,Terziario,0.8061344868265827,0.01030089284873076,Moderate (10001-50000)
2021,Emilia Romagna,1978443,NordEst,Primario,0.002573985409637108,9.7551458394303e-05,Very low (1-1000)
2021,Emilia Romagna,1978443,NordEst,Secondario,0.2879929582160814,0.010914643484800928,Moderate (10001-50000)
2021,Emilia Romagna,1978443,NordEst,Terziario,0.7094330563742814,0.026886799366976962,High (50001-100000)
2021,Friuli Venezia Giulia,510300,NordEst,Primario,0.002628614344723995,8.2304526748971e-05,Very low (1-1000)
2021,Friuli Venezia Giulia,510300,NordEst,Secondario,0.2992239329077482,0.009368998628257888,Low (1001-10000)
2021,Friuli Venezia Giulia,510300,NordEst,Terziario,0.6981474527475278,0.021859690378208896,Moderate (10001-50000)
2021,Lazio,2265747,Centro,Primario,0.002254163572716664,3.7515221249327e-05,Very low (1-1000)
2021,Lazio,2265747,Centro,Secondario,0.15057812665747322,0.002506016779455076,Low (1001-10000)
2021,Lazio,2265747,Centro,Terziario,0.8471677097698102,0.014099102856585489,Moderate (10001-50000)
2021,Liguria,594600,NordOvest,Primario,0.0006252605252188411,2.0181634712411e-05,Very low (1-1000)
2021,Liguria,594600,NordOvest,Secondario,0.20534597749062108,0.0066279852001345455,Low (1001-10000)
2021,Liguria,594600,NordOvest,Terziario,0.7940287619841601,0.025628994281870165,Moderate (10001-50000)
2021,Lombardia,4332517,NordOvest,Primario,0.001908108516587319,4.662416789132e-05,Very low (1-1000)
2021,Lombardia,4332517,NordOvest,Secondario,0.27457870475326834,0.00670926392210348,Moderate (10001-50000)
2021,Lombardia,4332517,NordOvest,Terziario,0.7235131867301443,0.01767886888845445,High (50001-100000)
2021,Marche,616562,Centro,Primario,0.004191980558930741,0.00011191088649641,Very low (1-1000)
2021,Marche,616562,Centro,Secondario,0.3101458080194411,0.00827978370382865,Low (1001-10000)
2021,Marche,616562,Centro,Terziario,0.6856622114216282,0.01830472847823901,Moderate (10001-50000)
2021,Molise,100276,Sud,Primario,0.0034562211981566822,5.9834855797997e-05,Very low (1-1000)
2021,Molise,100276,Sud,Secondario,0.21831797235023043,0.0037795683912401766,Very low (1-1000)
2021,Molise,100276,Sud,Terziario,0.7782258064516128,0.013472815030515777,Low (1001-10000)
2021,Piemonte,1767300,NordOvest,Primario,0.001768346595932802,4.187178181406601e-05,Very low (1-1000)
2021,Piemonte,1767300,NordOvest,Secondario,0.24355389872631253,0.005766989192553613,Moderate (10001-50000)
2021,Piemonte,1767300,NordOvest,Terziario,0.7546777546777547,0.017869631641487013,Moderate (10001-50000)
2021,Puglia,1206761,Sud,Primario,0.0026967196619038032,5.5520521461996004e-05,Very low (1-1000)
2021,Puglia,1206761,Sud,Secondario,0.1968605353189777,0.004052998066725722,Low (1001-10000)
2021,Puglia,1206761,Sud,Terziario,0.8004427450191184,0.01647965090021968,Moderate (10001-50000)
2021,Sardegna,563197,0,0,0.0,0.0,No injuries
2021,Sicilia,1310864,Sud,Primario,0.002815501821795296,5.1874183744461004e-05,Very low (1-1000)
2021,Sicilia,1310864,Sud,Secondario,0.16404438555813183,0.0030224340587581932,Low (1001-10000)
2021,Sicilia,1310864,Sud,Terziario,0.833140112620073,0.015350181254500848,Moderate (10001-50000)
2021,Toscana,1546282,Centro,Primario,0.0045899983935005625,0.000129342513202637,Very low (1-1000)
2021,Toscana,1546282,Centro,Secondario,0.25426296100796364,0.007164928518860078,Moderate (10001-50000)
2021,Toscana,1546282,Centro,Terziario,0.7411470405985358,0.020884935606829802,Moderate (10001-50000)
2021,Total,22553956,Total,Primario,0.0026909576228427577,6.5975122058409e-05,Low (1001-10000)
2021,Total,22553956,Total,Secondario,0.2552250331396495,0.006257438828026445,Very High (100001-200000)
2021,Total,22553956,Total,Terziario,0.7420840092375077,0.01819392571307668,Extremely High (200001+)
2021,Trentino Alto Adige,487081,NordEst,Primario,0.005547850208044383,0.000246365594223548,Very low (1-1000)
2021,Trentino Alto Adige,487081,NordEst,Secondario,0.25533980582524274,0.011338976474138798,Low (1001-10000)
2021,Trentino Alto Adige,487081,NordEst,Terziario,0.7391123439667129,0.03282205629043219,Moderate (10001-50000)
2021,Umbria,354249,Centro,Primario,0.00605060506050605,0.000155258024722723,Very low (1-1000)
2021,Umbria,354249,Centro,Secondario,0.2675467546754676,0.006865227565921146,Low (1001-10000)
2021,Umbria,354249,Centro,Terziario,0.7264026402640265,0.018639431586257124,Low (1001-10000)
2021,Valle D'Aosta,52741,NordOvest,Secondario,0.19248120300751878,0.004853908723763296,Very low (1-1000)
2021,Valle D'Aosta,52741,NordOvest,Terziario,0.8075187969924812,0.0203636639426632,Low (1001-10000)
2021,Veneto,2080525,NordEst,Primario,0.002466860423903026,8.363273692938e-05,Very low (1-1000)
2021,Veneto,2080525,NordEst,Secondario,0.32627773445807046,0.011061631078694081,Moderate (10001-50000)
2021,Veneto,2080525,NordEst,Terziario,0.6712554051180265,0.02275723675514594,Moderate (10001-50000)
2022,Abruzzo,482849,Sud,Primario,0.002213228784621221,7.2486429504876e-05,Very low (1-1000)
2022,Abruzzo,482849,Sud,Secondario,0.19950676615657012,0.0065341338596538465,Low (1001-10000)
2022,Abruzzo,482849,Sud,Terziario,0.7982800050588087,0.02614481960198737,Moderate (10001-50000)
2022,Basilicata,188761,Sud,Primario,0.005604857543204111,0.000127144908111315,Very low (1-1000)
2022,Basilicata,188761,Sud,Secondario,0.18496029892573562,0.004195781967673407,Very low (1-1000)
2022,Basilicata,188761,Sud,Terziario,0.8094348435310601,0.018361843813075797,Low (1001-10000)
2022,Calabria,528974,Sud,Primario,0.0034059945504087193,6.6165822894887e-05,Very low (1-1000)
2022,Calabria,528974,Sud,Secondario,0.1561891786687427,0.0030341755927512496,Low (1001-10000)
2022,Calabria,528974,Sud,Terziario,0.8404048267808486,0.01632594418629271,Low (1001-10000)
2022,Campania,1641300,Sud,Primario,0.001376297759028214,2.8026564308779e-05,Very low (1-1000)
2022,Campania,1641300,Sud,Secondario,0.13269305568022022,0.0027021263632486443,Low (1001-10000)
2022,Campania,1641300,Sud,Terziario,0.8659306465607516,0.017633583135319562,Moderate (10001-50000)
2022,Emilia Romagna,2001272,NordEst,Primario,0.002661100328365132,0.00010893072006204,Very low (1-1000)
2022,Emilia Romagna,2001272,NordEst,Secondario,0.2802333955884328,0.01147120431405626,Moderate (10001-50000)
2022,Emilia Romagna,2001272,NordEst,Terziario,0.7171055040832021,0.029354330645709328,High (50001-100000)
2022,Friuli Venezia Giulia,520517,NordEst,Primario,0.002191034523598033,7.1083173075999e-05,Very low (1-1000)
2022,Friuli Venezia Giulia,520517,NordEst,Secondario,0.2860188310534731,0.009279235836677764,Low (1001-10000)
2022,Friuli Venezia Giulia,520517,NordEst,Terziario,0.7117901344229289,0.023092425415500363,Moderate (10001-50000)
2022,Lazio,2320883,Centro,Primario,0.001194611383727555,2.8006581977635e-05,Very low (1-1000)
2022,Lazio,2320883,Centro,Secondario,0.11359835327415413,0.0026632105108271294,Low (1001-10000)
2022,Lazio,2320883,Centro,Terziario,0.8852070353421183,0.02075287724542771,Moderate (10001-50000)
2022,Liguria,616116,NordOvest,Primario,0.0005648919644118059,2.5969135682240998e-05,Very low (1-1000)
2022,Liguria,616116,NordOvest,Secondario,0.1408699336251942,0.006476053210759013,Low (1001-10000)
2022,Liguria,616116,NordOvest,Terziario,0.858565174410394,0.03946984009504704,Moderate (10001-50000)
2022,Lombardia,4424396,NordOvest,Primario,0.001275567967393765,3.8197304219604003e-05,Very low (1-1000)
2022,Lombardia,4424396,NordOvest,Secondario,0.22758698769718466,0.006815167539252816,Moderate (10001-50000)
2022,Lombardia,4424396,NordOvest,Terziario,0.7711374443354215,0.02309196554738771,Very High (100001-200000)
2022,Marche,639261,Centro,Primario,0.003174939146999683,9.3858377094801e-05,Very low (1-1000)
2022,Marche,639261,Centro,Secondario,0.2917239919568208,0.008624020548727358,Low (1001-10000)
2022,Marche,639261,Centro,Terziario,0.7051010688961796,0.02084438124647053,Moderate (10001-50000)
