Year,DescrRegione,AgeGroup,Occupati,MacroRegione,Count,Percentage,PercentageOccupati,SummarisedCount
2021,Trentino Alto Adige,65+,14308,NordEst,10,0.00071360608943863,0.000209672910259994,Very low (1-10)
2021,Umbria,15+,354249,Centro,28,0.006660323501427212,7.904044894974999e-05,Low (11-50)
2021,Umbria,15-64,341449,Centro,24,0.00570884871550904,7.0288681472196e-05,Low (11-50)
2021,Umbria,65+,12800,Centro,10,0.000951474785918173,0.0003125,Very low (1-10)
2021,Valle D'Aosta,15+,52741,NordOvest,10,0.001189343482397716,9.480290476100099e-05,Very low (1-10)
2021,Valle D'Aosta,15-64,51562,NordOvest,10,0.000951474785918173,7.7576509832822e-05,Very low (1-10)
2021,Valle D'Aosta,65+,1179,NordOvest,10,0.000237868696479543,0.000848176420695504,Very low (1-10)
2021,Veneto,15+,2080525,NordEst,119,0.028306374881065646,5.7197101693081996e-05,High (101-500)
2021,Veneto,15-64,2021587,NordEst,106,0.02521408182683159,5.2434053048421e-05,High (101-500)
2021,Veneto,65+,58938,NordEst,13,0.003092293054234062,0.000220570769282975,Low (11-50)
2022,Abruzzo,0-14,0,Sud,10,0.000274273176083379,0.0,Very low (1-10)
2022,Abruzzo,15+,482849,Sud,24,0.006582556226001097,4.9704980231915e-05,Low (11-50)
2022,Abruzzo,15-64,466189,Sud,21,0.00575973669775096,4.5046107909024004e-05,Low (11-50)
2022,Abruzzo,65+,16660,Sud,10,0.000822819528250137,0.000180072028811524,Very low (1-10)
2022,Basilicata,15+,188761,Sud,13,0.003565551289083927,6.8870158560295e-05,Low (11-50)
2022,Basilicata,15-64,182551,Sud,11,0.00301700493691717,6.0257133622932004e-05,Low (11-50)
2022,Basilicata,65+,6210,Sud,10,0.000548546352166758,0.000322061191626409,Very low (1-10)
2022,Calabria,15+,528974,Sud,34,0.009325287986834888,6.4275370812176e-05,Low (11-50)
2022,Calabria,15-64,509260,Sud,30,0.008228195282501372,5.8909005223265e-05,Low (11-50)
2022,Calabria,65+,19714,Sud,10,0.001097092704333516,0.00020290149132596102,Very low (1-10)
2022,Campania,15+,1641300,Sud,108,0.029621503017004936,6.5801498811917e-05,High (101-500)
2022,Campania,15-64,1591640,Sud,100,0.0274273176083379,6.282827775125001e-05,Moderate (51-100)
2022,Campania,65+,49660,Sud,10,0.002194185408667032,0.00016109544905356402,Very low (1-10)
2022,Emilia Romagna,15+,2001272,NordEst,103,0.02825013713658804,5.1467266818302994e-05,High (101-500)
2022,Emilia Romagna,15-64,1936093,NordEst,98,0.02687877125617115,5.0617403192925e-05,Moderate (51-100)
2022,Emilia Romagna,65+,65179,NordEst,10,0.0013713658804168948,7.6711824360606e-05,Very low (1-10)
2022,Friuli Venezia Giulia,15+,520517,NordEst,13,0.003565551289083927,2.4975168918594e-05,Low (11-50)
2022,Friuli Venezia Giulia,15-64,503440,NordEst,12,0.003291278113000548,2.3836008263149e-05,Low (11-50)
2022,Friuli Venezia Giulia,65+,17077,NordEst,10,0.000274273176083379,5.8558294782455e-05,Very low (1-10)
