Year,DescrRegione,Occupati,MacroRegione,Settore,Count,Percentage,PercentageOccupati,SummarisedCount
2021,Lombardia,4332517,NordOvest,Secondario,76,0.37810945273631835,1.7541766137328e-05,Moderate (51-100)
2021,Lombardia,4332517,NordOvest,Terziario,124,0.6169154228855721,2.8620776329325e-05,High (101-500)
2021,Marche,616562,Centro,Secondario,12,0.33333333333333326,1.946276286894e-05,Low (11-50)
2021,Marche,616562,Centro,Terziario,24,0.6666666666666665,3.8925525737881e-05,Low (11-50)
2021,Molise,100276,Sud,Secondario,3,0.15789473684210525,2.9917427898998e-05,Very low (1-10)
2021,Molise,100276,Sud,Terziario,16,0.8421052631578947,0.00015955961546132598,Low (11-50)
2021,Piemonte,1767300,NordOvest,Secondario,46,0.38655462184873957,2.6028404911446002e-05,Low (11-50)
2021,Piemonte,1767300,NordOvest,Terziario,73,0.6134453781512605,4.1305946924687e-05,Moderate (51-100)
2021,Puglia,1206761,Sud,Primario,1,0.009708737864077667,8.286644994327793e-07,Very low (1-10)
2021,Puglia,1206761,Sud,Secondario,24,0.23300970873786409,1.9887947986386e-05,Low (11-50)
2021,Puglia,1206761,Sud,Terziario,78,0.7572815533980582,6.463583095575599e-05,Moderate (51-100)
2021,Sardegna,563197,0,0,0,0.0,0.0,No deaths
2021,Sicilia,1310864,Sud,Primario,1,0.012048192771084338,7.628556433009069e-07,Very low (1-10)
2021,Sicilia,1310864,Sud,Secondario,29,0.3493975903614458,2.2122813655726e-05,Low (11-50)
2021,Sicilia,1310864,Sud,Terziario,53,0.6385542168674698,4.0431349094948003e-05,Moderate (51-100)
2021,Toscana,1546282,Centro,Secondario,23,0.30263157894736836,1.4874389018303e-05,Low (11-50)
2021,Toscana,1546282,Centro,Terziario,53,0.6973684210526315,3.4275765998698e-05,Moderate (51-100)
2021,Total,22553956,Total,Primario,10,0.007132667617689016,4.433811966290969e-07,Very low (1-10)
2021,Total,22553956,Total,Secondario,477,0.34022824536376606,2.1149283079207e-05,High (101-500)
2021,Total,22553956,Total,Terziario,915,0.6526390870185449,4.0569379491562e-05,Very High (501-1000)
2021,Trentino Alto Adige,487081,NordEst,Primario,2,0.06666666666666667,4.106093237059e-06,Very low (1-10)
2021,Trentino Alto Adige,487081,NordEst,Secondario,6,0.2,1.2318279711176999e-05,Very low (1-10)
2021,Trentino Alto Adige,487081,NordEst,Terziario,22,0.7333333333333333,4.5167025607649996e-05,Low (11-50)
2021,Umbria,354249,Centro,Secondario,13,0.4642857142857143,3.6697351298098e-05,Low (11-50)
2021,Umbria,354249,Centro,Terziario,15,0.5357142857142857,4.2343097651651e-05,Low (11-50)
2021,Valle D'Aosta,52741,NordOvest,Secondario,3,0.6,5.6881742856600994e-05,Very low (1-10)
2021,Valle D'Aosta,52741,NordOvest,Terziario,2,0.4,3.79211619044e-05,Very low (1-10)
2021,Veneto,2080525,NordEst,Primario,1,0.008403361344537815,4.80647913387246e-07,Very low (1-10)
2021,Veneto,2080525,NordEst,Secondario,47,0.39495798319327735,2.25904519292e-05,Low (11-50)
2021,Veneto,2080525,NordEst,Terziario,71,0.5966386554621849,3.4126001850494e-05,Moderate (51-100)
2022,Abruzzo,482849,Sud,Secondario,8,0.32,1.6568326743971e-05,Very low (1-10)
2022,Abruzzo,482849,Sud,Terziario,17,0.68,3.5207694330939e-05,Low (11-50)
2022,Basilicata,188761,Sud,Secondario,2,0.15384615384615383,1.0595409009276e-05,Very low (1-10)
2022,Basilicata,188761,Sud,Terziario,11,0.8461538461538461,5.8274749551019e-05,Low (11-50)
2022,Calabria,528974,Sud,Primario,1,0.02941176470588235,1.890452082711e-06,Very low (1-10)
2022,Calabria,528974,Sud,Secondario,7,0.20588235294117646,1.3233164578977e-05,Very low (1-10)
2022,Calabria,528974,Sud,Terziario,26,0.7647058823529411,4.9151754150487004e-05,Low (11-50)
2022,Campania,1641300,Sud,Secondario,25,0.23148148148148148,1.5231828428684e-05,Low (11-50)
2022,Campania,1641300,Sud,Terziario,83,0.7685185185185185,5.0569670383232e-05,Moderate (51-100)
2022,Emilia Romagna,2001272,NordEst,Secondario,27,0.2621359223300971,1.3491419457225e-05,Low (11-50)
2022,Emilia Romagna,2001272,NordEst,Terziario,76,0.7378640776699029,3.7975847361078e-05,Moderate (51-100)
2022,Friuli Venezia Giulia,520517,NordEst,Secondario,7,0.5384615384615384,1.3448167879243e-05,Very low (1-10)
2022,Friuli Venezia Giulia,520517,NordEst,Terziario,6,0.4615384615384615,1.1527001039351e-05,Very low (1-10)
2022,Lazio,2320883,Centro,Secondario,37,0.3189655172413793,1.5942208202653002e-05,Low (11-50)
2022,Lazio,2320883,Centro,Terziario,79,0.6810344827586207,3.4038768865125e-05,Moderate (51-100)
2022,Liguria,616116,NordOvest,Primario,1,0.03571428571428571,1.62307098014e-06,Very low (1-10)
2022,Liguria,616116,NordOvest,Secondario,13,0.4642857142857143,2.1099922741821e-05,Low (11-50)
2022,Liguria,616116,NordOvest,Terziario,14,0.5,2.2722993721961e-05,Low (11-50)
2022,Lombardia,4424396,NordOvest,Primario,2,0.010050251256281405,4.520391031905824e-07,Very low (1-10)
2022,Lombardia,4424396,NordOvest,Secondario,82,0.4120603015075377,1.8533603230813e-05,Moderate (51-100)
2022,Lombardia,4424396,NordOvest,Terziario,115,0.5778894472361809,2.5992248433458e-05,High (101-500)
