Year,DescrRegione,Occupati,MacroRegione,TotalDataAccadimento,TotalDataMorte,MorteOgniMilleIncidenti,PercentageMorteAccadimento,Morti per occupati,Incidenti su morti
2022,Campania,1641300,Sud,33423,105,3.141549232564402,0.3141549232564402,0.006397367940047523,2.036373606287699
2022,Emilia Romagna,2001272,NordEst,81921,103,1.257308870741324,0.1257308870741324,0.005146726681830356,4.093446567982763
2022,Friuli Venezia Giulia,520517,NordEst,16887,12,0.7106057914372002,0.07106057914372002,0.0023054002078702522,3.2442744425254118
2022,Lazio,2320883,Centro,54411,121,2.2238150374005254,0.22238150374005256,0.00521353295275979,2.3444094338232477
2022,Liguria,616116,NordOvest,28324,30,1.0591724332721366,0.10591724332721367,0.004869212940420311,4.597186244148829
2022,Lombardia,4424396,NordOvest,132490,198,1.4944524115027549,0.1494452411502755,0.004475187121586765,2.994533039086013
2022,Marche,639261,Centro,18898,39,2.0637104455497934,0.20637104455497934,0.006100794511162107,2.9562260172292696
2022,Molise,103093,Sud,2430,6,2.4691358024691357,0.24691358024691357,0.005819987778025666,2.3570950501003947
2022,Piemonte,1785318,NordOvest,54439,100,1.8369183857161226,0.18369183857161225,0.0056012430278527415,3.0492606919327536
2022,Puglia,1266627,Sud,29600,79,2.668918918918919,0.2668918918918919,0.006237037423014037,2.3369152876103225
2022,Sicilia,1337017,Sud,32737,73,2.2298927818676115,0.22298927818676118,0.005459915618126023,2.4485103779533097
2022,Toscana,1617713,Centro,53140,87,1.6371847948814453,0.16371847948814452,0.005377962592870305,3.284884277989977
2022,Trentino Alto Adige,506320,NordEst,23134,39,1.6858303795279677,0.16858303795279675,0.007702638647495655,4.569047242850371
2022,Umbria,352298,Centro,10726,23,2.14432220771956,0.214432220771956,0.006528563886255386,3.0445815758250117
2022,Valle D'Aosta,55164,NordOvest,1669,7,4.1941282204913115,0.4194128220491312,0.012689435138858675,3.02552389239359
2022,Veneto,2145361,NordEst,84593,130,1.5367701819299469,0.15367701819299467,0.006059586242128947,3.9430659921570306
2023,Abruzzo,502116,Sud,4989,11,2.2048506714772502,0.220485067147725,0.002190728835567877,0.993595105513467
2023,Basilicata,194175,Sud,1696,1,0.5896226415094339,0.0589622641509434,0.0005149993562508047,0.8734389082013648
2023,Calabria,539183,Sud,3472,5,1.4400921658986177,0.14400921658986177,0.0009273289402670337,0.6439372161214282
2023,Campania,1683953,Sud,9034,32,3.542174009298207,0.3542174009298207,0.001900290566304404,0.536475780499812
2023,Emilia Romagna,2023150,NordEst,31737,26,0.8192330718089296,0.08192330718089297,0.0012851246818080717,1.5686923856362605
2023,Friuli Venezia Giulia,519916,NordEst,6578,12,1.8242626938279112,0.18242626938279113,0.0023080651489856053,1.2652043791689427
2023,Lazio,2375406,Centro,17117,38,2.220015189577613,0.22200151895776127,0.0015997265309593393,0.7205926060639739
2023,Liguria,633017,NordOvest,8014,11,1.3725979535812327,0.13725979535812327,0.0017377100457017741,1.2660007551140016
2023,Lombardia,4500716,NordOvest,47589,81,1.7020740086994892,0.17020740086994893,0.0017997136455621728,1.0573650947982498
2023,Marche,641107,Centro,6903,10,1.4486455164421266,0.14486455164421266,0.0015598020299263618,1.0767313412581676
2023,Molise,106313,Sud,743,1,1.3458950201884252,0.13458950201884254,0.0009406187390065185,0.6988797230818433
2023,Piemonte,1800861,NordOvest,18478,27,1.461197099253166,0.14611970992531662,0.0014992828430400792,1.0260647545812807
2023,Puglia,1292646,Sud,11308,25,2.2108241952599927,0.22108241952599927,0.001934017511368155,0.8747948007420437
2023,Sicilia,1410776,Sud,10799,25,2.3150291693675342,0.2315029169367534,0.0017720743760880537,0.7654652474949957
2023,Toscana,1628035,Centro,19187,21,1.0944910616563297,0.10944910616563297,0.00128989855869192,1.1785373164581843
2023,Trentino Alto Adige,507708,NordEst,9070,10,1.1025358324145536,0.11025358324145534,0.001969636090036005,1.7864599336626565
2023,Umbria,361596,Centro,4312,11,2.5510204081632653,0.25510204081632654,0.0030420690494363874,1.192491067379064
