Year,DescrRegione,AgeGroup,Occupati,MacroRegione,Count,Percentage,PercentageOccupati,SummarisedCount
2019,Piemonte,15-64,1758282,NordOvest,41359,0.022535525914301906,0.023522392881232933,Moderate (10001-50000)
2019,Piemonte,65+,54253,NordOvest,829,0.000451702192580968,0.015280260999391736,Very low (1-1000)
2019,Puglia,0-14,0,Sud,2992,0.0016302689507868009,0.0,Low (1001-10000)
2019,Puglia,15+,1216063,Sud,27992,0.015252168606425177,0.023018544269499196,Moderate (10001-50000)
2019,Puglia,15-64,1188045,Sud,27365,0.014910531363061768,0.023033639298174733,Moderate (10001-50000)
2019,Puglia,65+,28018,Sud,627,0.00034163724336341004,0.022378470982939536,Very low (1-1000)
2019,Sardegna,15+,582033,0,0,0.0,0.0,No injuries
2019,Sardegna,15-64,562854,0,0,0.0,0.0,No injuries
2019,Sardegna,65+,19179,0,0,0.0,0.0,No injuries
2019,Sicilia,0-14,0,Sud,2923,0.0015926725077372388,0.0,Low (1001-10000)
2019,Sicilia,15+,1341533,Sud,25011,0.013627893291486858,0.018643596542164825,Moderate (10001-50000)
2019,Sicilia,15-64,1306193,Sud,24388,0.013288435552068349,0.01867105397135033,Moderate (10001-50000)
2019,Sicilia,65+,35340,Sud,623,0.00033945773941850796,0.0176287492925863,Very low (1-1000)
2019,Toscana,0-14,0,Centro,3093,0.00168530142539558,0.0,Low (1001-10000)
2019,Toscana,15+,1584130,Centro,46442,0.025305130552286295,0.02931703837437584,Moderate (10001-50000)
2019,Toscana,15-64,1526896,Centro,45152,0.02460224053005536,0.029571103729396107,Moderate (10001-50000)
2019,Toscana,65+,57234,Centro,1290,0.00070289002223094,0.022539050214907222,Low (1001-10000)
2019,Total,0-14,0,Total,58161,0.031690532234863344,0.0,High (50001-100000)
2019,Total,15+,23109405,Total,0,0.0,0.0,No injuries
2019,Total,15-64,22442714,Total,560128,0.3052002964125365,0.024958122266317703,Extremely High (200001+)
2019,Total,65+,666691,Total,12858,0.0070060154308879295,0.019286296050194166,Moderate (10001-50000)
2019,Trentino Alto Adige,0-14,0,NordEst,2342,0.0012760995597402031,0.0,Low (1001-10000)
2019,Trentino Alto Adige,15+,500166,NordEst,22092,0.012037400287694521,0.04416933578052087,Moderate (10001-50000)
2019,Trentino Alto Adige,15-64,487269,NordEst,21457,0.011691404036441306,0.044035224896309844,Moderate (10001-50000)
2019,Trentino Alto Adige,65+,12897,NordEst,635,0.00034599625125321403,0.04923625649375825,Very low (1-1000)
2019,Umbria,0-14,0,Centro,1060,0.000577568545399067,0.0,Low (1001-10000)
2019,Umbria,15+,358279,Centro,9554,0.005205745172398762,0.02666636894710547,Low (1001-10000)
2019,Umbria,15-64,346530,Centro,9266,0.005048820888365808,0.026739387643205496,Low (1001-10000)
2019,Umbria,65+,11749,Centro,288,0.000156924284032954,0.0245127244871904,Very low (1-1000)
2019,Valle D'Aosta,0-14,0,NordOvest,114,6.211586242971099e-05,0.0,Very low (1-1000)
2019,Valle D'Aosta,15+,55199,NordOvest,1333,0.000726319689638638,0.024148988206308085,Low (1001-10000)
2019,Valle D'Aosta,15-64,53656,NordOvest,1290,0.00070289002223094,0.024042045623974953,Low (1001-10000)
2019,Valle D'Aosta,65+,1543,NordOvest,43,2.3429667407697998e-05,0.027867790019442645,Very low (1-1000)
2019,Veneto,0-14,0,NordEst,5916,0.0032234863345102648,0.0,Low (1001-10000)
2019,Veneto,15+,2153657,NordEst,71507,0.03896244714702934,0.03320259447070727,High (50001-100000)
2019,Veneto,15-64,2094304,NordEst,70099,0.03819526175842378,0.03347126300670772,High (50001-100000)
2019,Veneto,65+,59353,NordEst,1408,0.000767185388605553,0.02372247401142318,Low (1001-10000)
2020,Abruzzo,0-14,0,Sud,347,0.000208458363295468,0.0,Very low (1-1000)
2020,Abruzzo,15+,475361,Sud,10802,0.006489242767486022,0.022723782556835756,Moderate (10001-50000)
