Year,DescrRegione,Genere,Occupati,MacroRegione,Count,Percentage,PercentageOccupati,SummarisedCount
2024,Calabria,M,0,Sud,10,0.00969529085872576,0.0,Very low (1-10)
2024,Campania,F,0,Sud,10,0.0041551246537396115,0.0,Very low (1-10)
2024,Campania,M,0,Sud,33,0.045706371191135735,0.0,Low (11-50)
2024,Emilia Romagna,F,0,NordEst,10,0.008310249307479223,0.0,Very low (1-10)
2024,Emilia Romagna,M,0,NordEst,33,0.045706371191135735,0.0,Low (11-50)
2024,Friuli Venezia Giulia,M,0,NordEst,10,0.008310249307479223,0.0,Very low (1-10)
2024,Lazio,F,0,Centro,10,0.002770083102493075,0.0,Very low (1-10)
2024,Lazio,M,0,Centro,30,0.04155124653739613,0.0,Low (11-50)
2024,Liguria,M,0,NordOvest,10,0.0110803324099723,0.0,Very low (1-10)
2024,Lombardia,F,0,NordOvest,10,0.012465373961218836,0.0,Very low (1-10)
2024,Lombardia,M,0,NordOvest,62,0.08587257617728533,0.0,Moderate (51-100)
2024,Marche,M,0,Centro,10,0.006925207756232688,0.0,Very low (1-10)
2024,Molise,M,0,Sud,10,0.001385041551246537,0.0,Very low (1-10)
2024,Piemonte,M,0,NordOvest,25,0.03462603878116344,0.0,Low (11-50)
2024,Puglia,F,0,Sud,10,0.001385041551246537,0.0,Very low (1-10)
2024,Puglia,M,0,Sud,25,0.03462603878116344,0.0,Low (11-50)
2024,Sicilia,F,0,Sud,10,0.0041551246537396115,0.0,Very low (1-10)
2024,Sicilia,M,0,Sud,26,0.03601108033240997,0.0,Low (11-50)
2024,Toscana,F,0,Centro,10,0.001385041551246537,0.0,Very low (1-10)
2024,Toscana,M,0,Centro,20,0.02770083102493075,0.0,Low (11-50)
2024,Total,F,0,Total,29,0.04016620498614959,0.0,Low (11-50)
2024,Total,M,0,Total,332,0.45983379501385047,0.0,High (101-500)
2024,Trentino Alto Adige,F,0,NordEst,10,0.001385041551246537,0.0,Very low (1-10)
2024,Trentino Alto Adige,M,0,NordEst,13,0.018005540166204984,0.0,Low (11-50)
2024,Umbria,F,0,Centro,10,0.001385041551246537,0.0,Very low (1-10)
2024,Umbria,M,0,Centro,10,0.008310249307479223,0.0,Very low (1-10)
2024,Valle D'Aosta,M,0,NordOvest,10,0.002770083102493075,0.0,Very low (1-10)
2024,Veneto,M,0,NordEst,19,0.02631578947368421,0.0,Low (11-50)
